channel_name,subscribers,vids_counted,median_views
ESPN,6020000,100,121777.5
Good Mythical Morning,15900000,100,1299577
NFL,5520000,100,48756
MLB,2250000,100,59108
Linus Tech Tips,9530000,100,1162568.5
Skip and Shannon: UNDISPUTED,1470000,100,254870
Good Mythical MORE,3800000,100,401356
NBA,12300000,100,51035
REACT,12200000,100,943546
The King of Random,12100000,100,1315649.5
WWE,51000000,100,83752.5
NBC Sports,1020000,100,13259.5
Tasty,16700000,100,112228.5
FaZe Rug,13600000,100,2731814
FBE,19700000,100,1016507
Inside Edition,6800000,100,200604.5
Binging with Babish,5600000,100,2846320
Marques Brownlee,9730000,100,3055093
UFC - Ultimate Fighting Championship,7810000,100,175031.5
TheEllenShow,35200000,100,162547.5
Tati,9720000,100,1453130
Vat19,6880000,100,2716918
The Real Daytime,2100000,100,49493
CBS News,1980000,100,10173
Unbox Therapy,15800000,100,2004839.5
Big Ten Network,175000,100,2239
CinemaSins,8720000,100,1013810
Doctor Mike,4470000,100,1015990
JennaMarbles,20000000,100,5785113
Simply Nailogical,7470000,100,4272253
The Daily Show with Trevor Noah,5730000,100,739808.5
FORMULA 1,3050000,100,255380
The Late Show with Stephen Colbert,6910000,100,397406.5
emma chamberlain,8530000,100,6581134.5
The Tonight Show Starring Jimmy Fallon,22600000,100,99571
First We Feast,7600000,100,1544536
Brad Mondo,3530000,100,1235010.5
Markiplier,24700000,100,1654542.5
BANGTANTV,23400000,100,2281138
AzzyLand,10500000,100,2231098.5
Dancing With The Stars,924000,100,130986
Bleacher Report,1470000,100,38330
shane,23100000,100,13647783.5
The Voice,7740000,100,288198
ABC News,6880000,100,25111.5
League of Legends,11500000,100,1215960.5
Jimmy Kimmel Live,15600000,100,194242.5
NikkieTutorials,12300000,100,2151942.5
Gus Johnson,1600000,100,1133400
The Infographics Show,6600000,100,265044
jacksepticeye,23000000,100,1360372
Fortnite,,,
The Late Late Show with James Corden,20900000,100,126086
Donut Media,2690000,100,870405
Rosanna Pansino,11700000,100,843093
Ladylike,3570000,100,775199
Screen Junkies,1570000,100,42818
How Ridiculous,5530000,100,2945769
Scotty Kilmer,2840000,100,239057
SciShow,5940000,100,161323
EverythingApplePro,7800000,100,1086739
ExplosmEntertainment,10000000,100,830907
Dude Perfect,47300000,100,42643258.5
MrBeast,26100000,100,25582548.5
Saturday Night Live,9150000,100,1025450
The Film Theorists,8090000,100,4043760
A&E,3370000,100,157816.5
James Charles,16300000,100,7847209.5
nigahiga,21300000,100,3867267
merrelltwins,4930000,100,1036764.5
Anwar Jibawi,5200000,100,6063722
ibighit,30200000,100,4746971.5
As/Is,10700000,100,345977
Yes Theory,4660000,100,2229233.5
Will Smith,7170000,82,2572954.5
Lele Pons,15400000,100,11976068.5
Breakfast Club Power 105.1 FM,4090000,100,202306.5
BuzzFeedVideo,19600000,100,159971.5
NBC News,1580000,100,5775
CBS This Morning,1030000,100,16408.5
CNBC,1180000,100,381833.5
CaseyNeistat,11600000,100,1797698.5
The Game Theorists,12200000,100,2740480
Team Coco,7440000,100,67164.5
Complex,4340000,100,181667
Strictly Dumpling,2810000,100,1117389.5
Kitchen Nightmares,225000,100,6788.5
Smosh,25000000,100,2898037
Lucas the Spider,3330000,24,10263174.5
Morgan Adams,3190000,62,2587957
Logan Paul Vlogs,20100000,100,3860379
Star Wars,3080000,100,67790
NBA on ESPN,565000,100,27796.5
Street Speed 717,944000,100,222600
shgurr,2120000,70,1673252
jacksfilms,4690000,100,1215071
WIRED,5440000,100,719877.5
Tom Scott,2020000,100,719396.5
The Verge,2760000,100,359108
The Slow Mo Guy,13000000,100,2812156
